LebwohlLasher5.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.348, Time: 0.554908 s
         9357738 function calls (8858687 primitive calls) in 3.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      213    0.007    0.000    0.022    0.000 artist.py:1521(get_setters)
        1    0.000    0.000    0.022    0.022 hashing.py:1(<module>)
    22916    0.014    0.000    0.022    0.000 _utils.py:24(deduplicate)
     1511    0.007    0.000    0.022    0.000 inspect.py:2333(_signature_from_function)
     1152    0.006    0.000    0.021    0.000 analysis.py:235(compute_cfg_from_blocks)
     5304    0.002    0.000    0.021    0.000 __init__.py:173(search)
       91    0.000    0.000    0.021    0.000 arrayobj.py:76(_make_refs)
       49    0.001    0.000    0.021    0.000 codegen.py:773(_verify_declare_only_symbols)
8337/8330    0.002    0.000    0.021    0.000 manager.py:40(__getitem__)
     3424    0.004    0.000    0.021    0.000 base.py:352(install_registry)
     3541    0.003    0.000    0.021    0.000 interpreter.py:1761(_dispatch)
      683    0.000    0.000    0.021    0.000 typeinfer.py:1473(resolve_value_type)
      432    0.001    0.000    0.021    0.000 analysis.py:60(compute_live_map)
    65194    0.009    0.000    0.021    0.000 <frozen abc>:117(__instancecheck__)
     1038    0.003    0.000    0.021    0.000 builder.py:297(if_then)
        9    0.000    0.000    0.021    0.002 _base.py:734(__init_subclass__)
       48    0.000    0.000    0.020    0.000 untyped_passes.py:118(run_pass)
      187    0.000    0.000    0.020    0.000 ir_print.py:11(match)
    47362    0.015    0.000    0.020    0.000 event.py:270(on_end)
     2101    0.001    0.000    0.020    0.000 module.py:240(_next)
      864    0.001    0.000    0.020    0.000 analysis.py:71(fix_point)
      371    0.001    0.000    0.020    0.000 __init__.py:930(read_text)
        1    0.000    0.000    0.020    0.020 randomimpl.py:1(<module>)
   149311    0.011    0.000    0.019    0.000 {method 'get' of 'dict' objects}
      105    0.001    0.000    0.019    0.000 codegen.py:684(_get_module_for_linking)
     7632    0.003    0.000    0.019    0.000 cpu_options.py:16(__repr__)
        1    0.000    0.000    0.019    0.019 _fontconfig_pattern.py:1(<module>)
       30    0.006    0.000    0.019    0.001 __init__.py:835(_rc_params_in_file)
       71    0.000    0.000    0.019    0.000 decorators.py:211(wrapper)
    10904    0.006    0.000    0.019    0.000 weakref.py:414(__getitem__)
      261    0.000    0.000    0.019    0.000 _parser.py:972(parse)
     3569    0.003    0.000    0.019    0.000 byteflow.py:319(dispatch)
     3050    0.019    0.000    0.019    0.000 {built-in method posix.stat}
       71    0.000    0.000    0.019    0.000 dispatcher.py:807(__init__)
     2977    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     6012    0.003    0.000    0.018    0.000 ansitowin32.py:49(isatty)
     2400    0.018    0.000    0.018    0.000 compiler_machinery.py:385(resolve_requires)
      694    0.001    0.000    0.018    0.000 targetconfig.py:190(__eq__)
      131    0.000    0.000    0.018    0.000 base.py:412(declare_function)
      432    0.008    0.000    0.018    0.000 analysis.py:118(compute_dead_maps)
     4352    0.003    0.000    0.018    0.000 instructions.py:660(__init__)
      371    0.000    0.000    0.018    0.000 pathlib.py:1053(read_text)
        1    0.000    0.000    0.018    0.018 entrypoints.py:1(<module>)
  592/261    0.001    0.000    0.018    0.000 _parser.py:449(_parse_sub)
       21    0.000    0.000    0.018    0.001 lowering.py:811(lower_getitem)
      238    0.000    0.000    0.018    0.000 extending.py:207(decorate)
       17    0.000    0.000    0.018    0.001 lowering.py:596(lower_setitem)
    82/69    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
      124    0.000    0.000    0.018    0.000 base.py:1097(get_abi_sizeof)
    82/69    0.004    0.000    0.018    0.000 {built-in method _imp.exec_dynamic}
       48    0.000    0.000    0.017    0.000 ir.py:1608(dump_to_string)
     2310    0.001    0.000    0.017    0.000 lowering.py:1422(_alloca_var)
16355/15861    0.014    0.000    0.017    0.000 {built-in method __new__ of type object at 0x1011e95f0}
      890    0.001    0.000    0.017    0.000 misc.py:61(literal)
      432    0.001    0.000    0.017    0.000 transforms.py:353(canonicalize_cfg)
334028/327771    0.016    0.000    0.017    0.000 {built-in method builtins.len}
       48    0.000    0.000    0.017    0.000 ir.py:1582(dump)
  697/272    0.007    0.000    0.017    0.000 _parser.py:509(_parse)
      124    0.000    0.000    0.017    0.000 types.py:48(get_abi_size)
       49    0.000    0.000    0.017    0.000 codegen.py:1032(scan_defined_symbols)
      203    0.003    0.000    0.017    0.000 ir.py:1308(dump)
       50    0.017    0.000    0.017    0.000 LebwohlLasher5.py:234(MC_step)
